Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,MACD_Signal,SMA_20,SMA_50
2016-08-19 00:00:00+05:30,8694.2998046875,8696.599609375,8647.099609375,8666.900390625,191900,0.0,0.0,50.053121010525736,55.851301820328445,64.23802769964108,8620.027490234375,8428.67501953125
2016-08-22 00:00:00+05:30,8667.0,8684.849609375,8614.0,8629.150390625,152300,0.0,0.0,49.18734381790526,51.51705425480941,61.69383301067475,8625.980029296876,8435.79703125
2016-08-23 00:00:00+05:30,8628.349609375,8642.150390625,8580.0,8632.599609375,187500,0.0,0.0,49.657546423836465,47.80933866353553,58.91693414124691,8630.55,8444.37703125
2016-08-24 00:00:00+05:30,8648.5,8661.0498046875,8620.900390625,8650.2998046875,149600,0.0,0.0,52.35876577792947,45.771578909962045,56.287863094989945,8631.282470703125,8453.98203125
2016-08-25 00:00:00+05:30,8668.849609375,8683.0498046875,8583.650390625,8592.2001953125,213100,0.0,0.0,54.22133381158924,39.01870338183471,52.834031152358904,8631.3599609375,8463.614033203125
2016-08-26 00:00:00+05:30,8614.349609375,8622.9501953125,8547.5498046875,8572.5498046875,147500,0.0,0.0,51.86767364305622,31.71577881983285,48.6103806858537,8629.1974609375,8472.88802734375
2016-08-29 00:00:00+05:30,8583.75,8622.0,8543.75,8607.4501953125,129700,0.0,0.0,42.066609490552636,28.416757645103644,44.57165607770369,8626.25498046875,8480.9050390625
2016-08-30 00:00:00+05:30,8646.75,8750.599609375,8642.25,8744.349609375,150200,0.0,0.0,52.81666661109796,36.42896773091343,42.94311840834565,8631.5474609375,8492.97703125
2016-08-31 00:00:00+05:30,8754.0498046875,8819.2001953125,8754.0498046875,8786.2001953125,362200,0.0,0.0,59.078313915958596,45.62970365377441,43.480435457431405,8639.02998046875,8505.29703125
2016-09-01 00:00:00+05:30,8793.599609375,8813.25,8759.9501953125,8774.650390625,238900,0.0,0.0,69.8102770634189,51.3969088757749,45.06373014110011,8646.61748046875,8516.0200390625
2016-09-02 00:00:00+05:30,8796.349609375,8824.099609375,8768.2001953125,8809.650390625,191500,0.0,0.0,70.86135516382234,58.12167753830181,47.67531962054045,8659.85751953125,8527.8150390625
2016-09-06 00:00:00+05:30,8852.7001953125,8950.849609375,8848.4501953125,8943.0,195600,0.0,0.0,74.86145476936602,73.36559131192371,52.8133739588171,8679.4525390625,8542.60103515625
2016-09-07 00:00:00+05:30,8968.7001953125,8968.7001953125,8913.349609375,8917.9501953125,290100,0.0,0.0,74.05868979212033,82.4744784664781,58.7455948603493,8691.192529296875,8555.55103515625
2016-09-08 00:00:00+05:30,8915.5,8960.349609375,8896.0,8952.5,217200,0.0,0.0,73.42118023248194,91.42730064564057,65.28193601740756,8703.250048828126,8572.829033203125
2016-09-09 00:00:00+05:30,8934.2998046875,8939.150390625,8858.7001953125,8866.7001953125,175900,0.0,0.0,64.78687159680433,90.55528459275592,70.33660573247724,8712.67255859375,8588.269033203125
2016-09-12 00:00:00+05:30,8732.9501953125,8746.9501953125,8699.400390625,8715.599609375,184500,0.0,0.0,55.47875685123112,76.78650408231624,71.62658540244504,8719.687548828126,8600.0240234375
2016-09-14 00:00:00+05:30,8710.650390625,8739.849609375,8688.900390625,8726.599609375,184300,0.0,0.0,55.90081607030759,66.0014309863036,70.50155451921675,8726.410009765625,8610.476015625
2016-09-15 00:00:00+05:30,8743.849609375,8751.9501953125,8704.349609375,8742.5498046875,145400,0.0,0.0,55.80371185907518,58.07181458573905,68.01560653252122,8731.410009765625,8619.57201171875
2016-09-16 00:00:00+05:30,8780.849609375,8847.650390625,8750.5,8779.849609375,265800,0.0,0.0,62.12283524179048,54.172848097850874,65.24705484558714,8739.2,8628.60201171875
2016-09-19 00:00:00+05:30,8788.4501953125,8824.2998046875,8774.2001953125,8808.400390625,131700,0.0,0.0,65.06357599867272,52.77830307916156,62.753304492302036,8745.95751953125,8637.356015625
2016-09-20 00:00:00+05:30,8816.099609375,8816.4501953125,8759.2998046875,8775.900390625,136500,0.0,0.0,60.79186066735821,48.491656092106496,59.90097481226293,8751.40751953125,8646.15501953125
2016-09-21 00:00:00+05:30,8790.2998046875,8826.849609375,8757.2998046875,8777.150390625,148800,0.0,0.0,52.54348181669484,44.68027561971576,56.85683497375349,8758.80751953125,8654.94001953125
2016-09-22 00:00:00+05:30,8873.349609375,8893.349609375,8837.7998046875,8867.4501953125,172800,0.0,0.0,55.86007933645871,48.38837761078139,55.16314350115908,8770.550048828125,8665.82501953125
2016-09-23 00:00:00+05:30,8880.75,8885.2001953125,8820.2998046875,8831.5498046875,185900,0.0,0.0,53.964560172994034,47.878302395965875,53.70617528012044,8779.612548828125,8673.0980078125
2016-09-26 00:00:00+05:30,8807.900390625,8809.5498046875,8715.099609375,8723.0498046875,164000,0.0,0.0,44.52657554065181,38.27777848241021,50.62049592057839,8786.155029296875,8677.1380078125
2016-09-27 00:00:00+05:30,8748.900390625,8768.5,8690.5,8706.400390625,151400,0.0,0.0,32.45852073456456,28.9916281009082,46.29472235664436,8792.84755859375,8680.876015625
2016-09-28 00:00:00+05:30,8711.2001953125,8767.0498046875,8703.150390625,8745.150390625,165500,0.0,0.0,37.44371039503842,24.476933322228433,41.93116454976118,8799.732568359375,8684.4790234375
2016-09-29 00:00:00+05:30,8792.7001953125,8800.650390625,8558.25,8591.25,372900,0.0,0.0,27.630226285935436,8.383885644376278,35.2217087686842,8792.077587890624,8685.476015625
2016-09-30 00:00:00+05:30,8581.5,8637.150390625,8555.2001953125,8611.150390625,181700,0.0,0.0,32.769253663335306,-2.7326748014547775,27.63083205465641,8783.32509765625,8687.52501953125
2016-10-03 00:00:00+05:30,8666.150390625,8745.2001953125,8635.0,8738.099609375,137300,0.0,0.0,51.56816195628204,-1.284085908000634,21.847848462125,8781.49755859375,8691.716015625
2016-10-04 00:00:00+05:30,8770.0,8783.650390625,8736.099609375,8769.150390625,184300,0.0,0.0,52.88498973713832,2.3424672667333652,17.946772223046676,8779.47255859375,8695.78203125
2016-10-05 00:00:00+05:30,8806.349609375,8806.9501953125,8731.400390625,8743.9501953125,157200,0.0,0.0,50.093771824509375,3.1468170822172397,14.98678119488079,8769.520068359376,8700.45904296875
2016-10-06 00:00:00+05:30,8768.7001953125,8781.150390625,8684.650390625,8709.5498046875,163600,0.0,0.0,45.27429157372189,0.9969538156346971,12.18881571903157,8759.100048828124,8703.82603515625
2016-10-07 00:00:00+05:30,8721.7001953125,8723.7001953125,8663.7998046875,8697.599609375,150400,0.0,0.0,42.38169673432225,-1.6520652223225625,9.420639530760745,8746.355029296876,8705.06501953125
2016-10-10 00:00:00+05:30,8735.349609375,8745.7998046875,8703.9501953125,8708.7998046875,108400,0.0,0.0,45.24716985569481,-2.8152176604962733,6.973468092509342,8738.460009765626,8707.4280078125
2016-10-13 00:00:00+05:30,8671.5,8681.5498046875,8541.349609375,8573.349609375,212300,0.0,0.0,37.87046767038955,-14.499580961368338,2.6788582817338065,8731.347509765625,8706.57900390625
2016-10-14 00:00:00+05:30,8594.0,8604.4501953125,8549.7998046875,8583.400390625,162800,0.0,0.0,31.308886258512842,-22.686987539414986,-2.3943108824959523,8724.187548828126,8704.921015625
